num,character,char_slug,emotion,text,input_text,filename
043,주인공(사령관),commander,[resolute],광개토대왕.,[resolute] 광개토대왕.,043_commander.mp3
044,백구,baekgu,[matter-of-fact],"{사령관}. 기상하세요. 에너지 잔량 7% — 이 경보 울리려고, 마지막 한 줌까지 긁어모았어요.","[matter-of-fact] {사령관}. 기상하세요. 에너지 잔량 7% — 이 경보 울리려고, 마지막 한 줌까지 긁어모았어요.",044_baekgu.mp3
045,백구,baekgu,[matter-of-fact],"100년 3개월 12일. 그동안 저는 한 번도 전원을 끄지 않았어요. 끄면, 깨워 줄 사람이 없을 것 같아서요.","[matter-of-fact] 100년 3개월 12일. 그동안 저는 한 번도 전원을 끄지 않았어요. 끄면, 깨워 줄 사람이 없을 것 같아서요.",045_baekgu.mp3
046,백구,baekgu,[matter-of-fact],"우르사 메이저의 봉쇄, 그대로입니다. 떠날 때보다 오히려 더 조여졌어요.","[matter-of-fact] 우르사 메이저의 봉쇄, 그대로입니다. 떠날 때보다 오히려 더 조여졌어요.",046_baekgu.mp3
047,백구,baekgu,[matter-of-fact],네. 그러니 감상은 나중에 하세요 — 일단 살아야 그 고향에 갑니다. 격납고에 고철 프레임이 흩어져 있어요. 수거하면 멈춘 엔진에 다시 불을 붙일 수 있습니다.,[matter-of-fact] 네. 그러니 감상은 나중에 하세요 — 일단 살아야 그 고향에 갑니다. 격납고에 고철 프레임이 흩어져 있어요. 수거하면 멈춘 엔진에 다시 불을 붙일 수 있습니다.,047_baekgu.mp3
048,백구,baekgu,[matter-of-fact],"볼프 교역소예요. 수퍼비아 내권역의 낡은 정거장 — 그런데 사령관님, 불이 켜져 있어요. 100년 만에 처음 보는 '살아있는' 신호입니다.","[matter-of-fact] 볼프 교역소예요. 수퍼비아 내권역의 낡은 정거장 — 그런데 사령관님, 불이 켜져 있어요. 100년 만에 처음 보는 '살아있는' 신호입니다.",048_baekgu.mp3
049,백구,baekgu,[matter-of-fact],"버티는 거죠, 우리처럼. 저들에게 중력수정을 싸게 사서 아우레우스에 넘기면 40% 차익 — 첫 자금이에요.","[matter-of-fact] 버티는 거죠, 우리처럼. 저들에게 중력수정을 싸게 사서 아우레우스에 넘기면 40% 차익 — 첫 자금이에요.",049_baekgu.mp3
050,백구,baekgu,[matter-of-fact],"큰 불도 불씨 하나에서 시작해요. 살아남는 게, 반격의 첫 걸음입니다.","[matter-of-fact] 큰 불도 불씨 하나에서 시작해요. 살아남는 게, 반격의 첫 걸음입니다.",050_baekgu.mp3
051,백구,baekgu,[matter-of-fact][hesitant],"(귀를 쫑긋) …사령관님, 저 안쪽 노인한테서 100년 묵은 데이터 냄새가 나요. 제가 먼저 가볼게요.","[matter-of-fact][hesitant] (귀를 쫑긋) …사령관님, 저 안쪽 노인한테서 100년 묵은 데이터 냄새가 나요. 제가 먼저 가볼게요.",051_baekgu.mp3
052,백구,baekgu,[matter-of-fact],"설계도 단편 1/3, 골격도예요. 사령관님, 이건 단순한 함선이 아닙니다. 우르사 메이저조차 두려워했던 전설이에요.","[matter-of-fact] 설계도 단편 1/3, 골격도예요. 사령관님, 이건 단순한 함선이 아닙니다. 우르사 메이저조차 두려워했던 전설이에요.",052_baekgu.mp3
053,백구,baekgu,[matter-of-fact],"나머지 두 조각을 모으는 길이, 곧 그 전설을 만나는 길입니다.","[matter-of-fact] 나머지 두 조각을 모으는 길이, 곧 그 전설을 만나는 길입니다.",053_baekgu.mp3
054,백구,baekgu,[matter-of-fact][whispers],"마르코 폴로 — 정보 브로커 등록. (작게) 허풍인지 진짜인지는, 제가 지켜볼게요.","[matter-of-fact][whispers] 마르코 폴로 — 정보 브로커 등록. (작게) 허풍인지 진짜인지는, 제가 지켜볼게요.",054_baekgu.mp3
055,백구,baekgu,[matter-of-fact],"아우레우스 내권역이에요. 세금도 규정도 빡빡해요 — 대신 수퍼비아 중력수정은 여기선 희귀품, 비싸게 팔려요.","[matter-of-fact] 아우레우스 내권역이에요. 세금도 규정도 빡빡해요 — 대신 수퍼비아 중력수정은 여기선 희귀품, 비싸게 팔려요.",055_baekgu.mp3
056,백구,baekgu,[matter-of-fact],거북선 설계도 단편 2/3 확보 — 외피 가시 돌기 구조도. 코어 단편 하나만 더면 복원됩니다.,[matter-of-fact] 거북선 설계도 단편 2/3 확보 — 외피 가시 돌기 구조도. 코어 단편 하나만 더면 복원됩니다.,056_baekgu.mp3
057,백구,baekgu,[matter-of-fact][growls][hesitant],"크리그 소형 3, 중형 지휘선 1. 그리고 — 민간 광부 7명이 안에 잡혀 있어요. (낮게 으르렁) …이건, 마음에 안 들어요.","[matter-of-fact][growls][hesitant] 크리그 소형 3, 중형 지휘선 1. 그리고 — 민간 광부 7명이 안에 잡혀 있어요. (낮게 으르렁) …이건, 마음에 안 들어요.",057_baekgu.mp3
058,백구,baekgu,[matter-of-fact],"해적 소형 2, 지휘선 1 — 외곽 배치. 제가 먼저 길 열게요.","[matter-of-fact] 해적 소형 2, 지휘선 1 — 외곽 배치. 제가 먼저 길 열게요.",058_baekgu.mp3
059,백구,baekgu,[matter-of-fact],생존 확률 62%. 이순신 구출 시 크리그 전략 정보 확보 89%.,[matter-of-fact] 생존 확률 62%. 이순신 구출 시 크리그 전략 정보 확보 89%.,059_baekgu.mp3
060,백구,baekgu,[matter-of-fact][hesitant],"…사실은, 사령관님이랑이면 100%라고 적고 싶었어요. (꼬리 흔들 듯) …그냥요.","[matter-of-fact][hesitant] …사실은, 사령관님이랑이면 100%라고 적고 싶었어요. (꼬리 흔들 듯) …그냥요.",060_baekgu.mp3
061,백구,baekgu,[matter-of-fact][growls][hesitant],"(낮게 으르렁) …말로 통할 상대가 아니에요. 전투 모드 전환, 적 3기 포착.","[matter-of-fact][growls][hesitant] (낮게 으르렁) …말로 통할 상대가 아니에요. 전투 모드 전환, 적 3기 포착.",061_baekgu.mp3
062,백구,baekgu,[matter-of-fact][whispers][hesitant],"우주어 자동 번역 활성화. (작게) …100년입니다, 장군님.","[matter-of-fact][whispers][hesitant] 우주어 자동 번역 활성화. (작게) …100년입니다, 장군님.",062_baekgu.mp3
063,백구,baekgu,[matter-of-fact],SW01 무기 세트 + SA01 장갑 세트 자동 장착 완료. 화력 대폭 상승.,[matter-of-fact] SW01 무기 세트 + SA01 장갑 세트 자동 장착 완료. 화력 대폭 상승.,063_baekgu.mp3
064,백구,baekgu,[matter-of-fact],"임무 완료. 다음 항로 — 저항군에게 손을 내밀러 갑니다. (꼬리 흔들 듯) 이제, 혼자가 아니에요.","[matter-of-fact] 임무 완료. 다음 항로 — 저항군에게 손을 내밀러 갑니다. (꼬리 흔들 듯) 이제, 혼자가 아니에요.",064_baekgu.mp3
065,백구,baekgu,[matter-of-fact],페스작센 외곽 — 약 200년 전 좌표의 잔해 신호 감지. 옛 지구 해군 식별 코드 'HMS Victory'.,[matter-of-fact] 페스작센 외곽 — 약 200년 전 좌표의 잔해 신호 감지. 옛 지구 해군 식별 코드 'HMS Victory'.,065_baekgu.mp3
066,백구,baekgu,[matter-of-fact],영웅 합류: 호레이쇼 넬슨. 옛 지구 해군 진형 데이터 입수 → 학익진 명중률 +15%.,[matter-of-fact] 영웅 합류: 호레이쇼 넬슨. 옛 지구 해군 진형 데이터 입수 → 학익진 명중률 +15%.,066_baekgu.mp3
067,백구,baekgu,[matter-of-fact],공장 지하 연구동에서 보존 캡슐 발견 — 생체 반응! 살아있어요.,[matter-of-fact] 공장 지하 연구동에서 보존 캡슐 발견 — 생체 반응! 살아있어요.,067_baekgu.mp3
068,백구,baekgu,[matter-of-fact],"임무 완료. 집행관 격파, 이휘소 박사 합류. 이제 캅테인 균열을 지나 — 우르사 메이저의 본거지로 향합니다.","[matter-of-fact] 임무 완료. 집행관 격파, 이휘소 박사 합류. 이제 캅테인 균열을 지나 — 우르사 메이저의 본거지로 향합니다.",068_baekgu.mp3
069,백구,baekgu,[matter-of-fact][growls][excited][hesitant],"아이젠클로 기함 포착 — 크기 2배, 장갑 등급 이상. (으르렁) …이 냄새, 적의 우두머리예요. 전 함선, 전투 준비!","[matter-of-fact][growls][excited][hesitant] 아이젠클로 기함 포착 — 크기 2배, 장갑 등급 이상. (으르렁) …이 냄새, 적의 우두머리예요. 전 함선, 전투 준비!",069_baekgu.mp3
070,백구,baekgu,[matter-of-fact],캅테인b 균열. 시공이 뒤틀려 있어요. 아우레우스 태양핵 안정화 코어가 없으면 함대가 분해돼요.,[matter-of-fact] 캅테인b 균열. 시공이 뒤틀려 있어요. 아우레우스 태양핵 안정화 코어가 없으면 함대가 분해돼요.,070_baekgu.mp3
071,백구,baekgu,[matter-of-fact],(시공 왜곡) ⚠ 좌우 시공축 ±0.3 변동. 함대 자세 보정 중.,[matter-of-fact] (시공 왜곡) ⚠ 좌우 시공축 ±0.3 변동. 함대 자세 보정 중.,071_baekgu.mp3
072,백구,baekgu,[matter-of-fact],영웅 합류: A. 아인슈타인. 8영웅 완전체 — 함대 최종 강화 상태.,[matter-of-fact] 영웅 합류: A. 아인슈타인. 8영웅 완전체 — 함대 최종 강화 상태.,072_baekgu.mp3
073,백구,baekgu,[matter-of-fact],거북선 + 8영웅 + 보이드 방어막 해석 장비 + 시공 보정 알고리즘 — 모든 준비 완료.,[matter-of-fact] 거북선 + 8영웅 + 보이드 방어막 해석 장비 + 시공 보정 알고리즘 — 모든 준비 완료.,073_baekgu.mp3
074,백구,baekgu,[matter-of-fact],"임무 완료. 이제, 마지막입니다 — 제타 레티쿨리, 그리고 지구. 우르사 메이저를 끝장내고, 지구를 되찾으러 갑니다.","[matter-of-fact] 임무 완료. 이제, 마지막입니다 — 제타 레티쿨리, 그리고 지구. 우르사 메이저를 끝장내고, 지구를 되찾으러 갑니다.",074_baekgu.mp3
075,백구,baekgu,[matter-of-fact],제타 레티쿨리. 우르사 메이저 본거지에 도착했어요. 적함 신호 — 총 30기 식별.,[matter-of-fact] 제타 레티쿨리. 우르사 메이저 본거지에 도착했어요. 적함 신호 — 총 30기 식별.,075_baekgu.mp3
076,백구,baekgu,[matter-of-fact],전투력 1천만 단위! 하지만 — 거북선과 8영웅이 함께라면 못할 게 없어요.,[matter-of-fact] 전투력 1천만 단위! 하지만 — 거북선과 8영웅이 함께라면 못할 게 없어요.,076_baekgu.mp3
077,백구,baekgu,[matter-of-fact],사령관. 100년 3개월 12일 동안 — 당신을 기다린 보람이 있었어요.,[matter-of-fact] 사령관. 100년 3개월 12일 동안 — 당신을 기다린 보람이 있었어요.,077_baekgu.mp3
078,백구,baekgu,[matter-of-fact],좌표 — 지구. 항법 입력 완료. 가시죠.,[matter-of-fact] 좌표 — 지구. 항법 입력 완료. 가시죠.,078_baekgu.mp3
079,백구,baekgu,[matter-of-fact],이겨야 하는 싸움입니다.,[matter-of-fact] 이겨야 하는 싸움입니다.,079_baekgu.mp3
080,백구,baekgu,[matter-of-fact][hesitant],사령관… 저도 이제 알겠습니다. 저는 100년간 당신을 기다리도록 설계된 프로그램이었습니다.,[matter-of-fact][hesitant] 사령관… 저도 이제 알겠습니다. 저는 100년간 당신을 기다리도록 설계된 프로그램이었습니다.,080_baekgu.mp3
081,백구,baekgu,[matter-of-fact],10만 크레딧 무역 실적 보유 팀이 왔습니다.,[matter-of-fact] 10만 크레딧 무역 실적 보유 팀이 왔습니다.,081_baekgu.mp3
082,백구,baekgu,[matter-of-fact],"지금 위치: {nm} ({fac} 팩션, 링 {ring}). 행성 광장에서 퀘스트·상점·주점 이용 가능.","[matter-of-fact] 지금 위치: {nm} ({fac} 팩션, 링 {ring}). 행성 광장에서 퀘스트·상점·주점 이용 가능.",082_baekgu.mp3
083,백구,baekgu,[matter-of-fact],잡파츠 정리 완료. {cr} 크레딧 들어왔어.,[matter-of-fact] 잡파츠 정리 완료. {cr} 크레딧 들어왔어.,083_baekgu.mp3
084,백구,baekgu,[matter-of-fact][hesitant],강화 실패... {nm}이(가) {regress}단계 후퇴해서 +{newLv}이 됐어. 재료를 더 모아서 다시 도전해.,[matter-of-fact][hesitant] 강화 실패... {nm}이(가) {regress}단계 후퇴해서 +{newLv}이 됐어. 재료를 더 모아서 다시 도전해.,084_baekgu.mp3
085,백구,baekgu,[matter-of-fact][hesitant],강화 실패... 다음엔 운이 따르길.,[matter-of-fact][hesitant] 강화 실패... 다음엔 운이 따르길.,085_baekgu.mp3
086,백구,baekgu,[matter-of-fact][excited],"검은 함선과의 만남 끝났어. 보이드가 선물로 팔콘 {cap}척{luck}, 신화 설계도 {bp}장, 신화 파츠 5종, VC {vc}개, VE {ve}을 남겼어. 보이드 행성 100% 투자하면 마지막 시험 열려!","[matter-of-fact][excited] 검은 함선과의 만남 끝났어. 보이드가 선물로 팔콘 {cap}척{luck}, 신화 설계도 {bp}장, 신화 파츠 5종, VC {vc}개, VE {ve}을 남겼어. 보이드 행성 100% 투자하면 마지막 시험 열려!",086_baekgu.mp3
087,백구,baekgu,[matter-of-fact], (행운 2척!),[matter-of-fact]  (행운 2척!),087_baekgu.mp3
088,백구,baekgu,[matter-of-fact],신화급 파츠야! {nm}. 상점에서는 절대 못 사는 거야.,[matter-of-fact] 신화급 파츠야! {nm}. 상점에서는 절대 못 사는 거야.,088_baekgu.mp3
089,백구,baekgu,[matter-of-fact][excited],설계도 드랍! {nm} 설계도야. 재료 모아서 제작소에서 만들어봐!,[matter-of-fact][excited] 설계도 드랍! {nm} 설계도야. 재료 모아서 제작소에서 만들어봐!,089_baekgu.mp3
090,백구,baekgu,[matter-of-fact][excited],"넬슨의 일점사야! 전 함대, {nm} 한 척에 화력 집중! ATT 두 배!","[matter-of-fact][excited] 넬슨의 일점사야! 전 함대, {nm} 한 척에 화력 집중! ATT 두 배!",090_baekgu.mp3
091,백구,baekgu,[matter-of-fact],신화 5종({names}) 받았어. 정비소에서 장착해.,[matter-of-fact] 신화 5종({names}) 받았어. 정비소에서 장착해.,091_baekgu.mp3
092,백구,baekgu,[matter-of-fact], · 추가 설계도 {names} — 제작소 가능.,[matter-of-fact]  · 추가 설계도 {names} — 제작소 가능.,092_baekgu.mp3
093,백구,baekgu,[matter-of-fact],먼저 이 전투부터 끝내야 합니다. 끝나기 전에 도망갈 수도 없어요.,[matter-of-fact] 먼저 이 전투부터 끝내야 합니다. 끝나기 전에 도망갈 수도 없어요.,093_baekgu.mp3
094,백구,baekgu,[matter-of-fact],"사령관, {nm} 은(는) 이미 {max}대를 보유 중입니다. 같은 함선을 더 늘려도 함대 다양성이 떨어져 전술적으로 손해예요. 다른 함선을 합류시켜 시너지를 노려야 합니다 — 호위 함선의 특성·무장이 다양해야 적의 약점을 모두 찌를 수 있어요. 다른 함선을 함대에 넣어보세요.","[matter-of-fact] 사령관, {nm} 은(는) 이미 {max}대를 보유 중입니다. 같은 함선을 더 늘려도 함대 다양성이 떨어져 전술적으로 손해예요. 다른 함선을 합류시켜 시너지를 노려야 합니다 — 호위 함선의 특성·무장이 다양해야 적의 약점을 모두 찌를 수 있어요. 다른 함선을 함대에 넣어보세요.",094_baekgu.mp3
095,백구,baekgu,[matter-of-fact],치크스 {nm} 합병 완료. 이제 우리 땅이야.,[matter-of-fact] 치크스 {nm} 합병 완료. 이제 우리 땅이야.,095_baekgu.mp3
096,백구,baekgu,[matter-of-fact],{nm} 낙찰. 세금 ₡{tax} 들어온다.,[matter-of-fact] {nm} 낙찰. 세금 ₡{tax} 들어온다.,096_baekgu.mp3
097,백구,baekgu,[matter-of-fact],{nm} 구매 완료.,[matter-of-fact] {nm} 구매 완료.,097_baekgu.mp3
098,백구,baekgu,[matter-of-fact],{nm} 합류. 잘 써.,[matter-of-fact] {nm} 합류. 잘 써.,098_baekgu.mp3
099,백구,baekgu,[matter-of-fact],{nm} 기함 승격. 전투 시 중앙에 배치돼.,[matter-of-fact] {nm} 기함 승격. 전투 시 중앙에 배치돼.,099_baekgu.mp3
100,백구,baekgu,[matter-of-fact],{nm} 충성도 {loy}야. 곧 이탈할 수도 있어. 빨리 크루 태워.,[matter-of-fact] {nm} 충성도 {loy}야. 곧 이탈할 수도 있어. 빨리 크루 태워.,100_baekgu.mp3
101,백구,baekgu,[matter-of-fact][excited],{nm} 충성도 만렙이야. 이제 한층 더 강해졌어!,[matter-of-fact][excited] {nm} 충성도 만렙이야. 이제 한층 더 강해졌어!,101_baekgu.mp3
102,백구,baekgu,[matter-of-fact],{nm} 충성도가 너무 낮아서 적에게 넘어갔어. 크루를 신경 써야 해.,[matter-of-fact] {nm} 충성도가 너무 낮아서 적에게 넘어갔어. 크루를 신경 써야 해.,102_baekgu.mp3
103,백구,baekgu,[matter-of-fact],{nm} 최고 레벨 보상! {item} 들어왔어.,[matter-of-fact] {nm} 최고 레벨 보상! {item} 들어왔어.,103_baekgu.mp3
104,백구,baekgu,[matter-of-fact],{nm} 파츠 슬롯 추가 완료. 더 강력하게 무장할 수 있어.,[matter-of-fact] {nm} 파츠 슬롯 추가 완료. 더 강력하게 무장할 수 있어.,104_baekgu.mp3
105,백구,baekgu,[matter-of-fact],{nm} 출격 준비 완료. 즉시 전열에 투입.,[matter-of-fact] {nm} 출격 준비 완료. 즉시 전열에 투입.,105_baekgu.mp3
106,백구,baekgu,[matter-of-fact],{rs} 출격! {ac} 파츠/크루는 자동 회수했어. 새 함선에 다시 배치해줘.,[matter-of-fact] {rs} 출격! {ac} 파츠/크루는 자동 회수했어. 새 함선에 다시 배치해줘.,106_baekgu.mp3
107,백구,baekgu,[matter-of-fact],{nm} 정비소에 ₡{cr}에 매각했어. 파츠랑 크루는 잘 챙겨놨고.,[matter-of-fact] {nm} 정비소에 ₡{cr}에 매각했어. 파츠랑 크루는 잘 챙겨놨고.,107_baekgu.mp3
108,백구,baekgu,[matter-of-fact],{nm} 의 홀로그램 외피를 {skin} 형태로 재구성했어. 능력치는 그대로니까 안심해.,[matter-of-fact] {nm} 의 홀로그램 외피를 {skin} 형태로 재구성했어. 능력치는 그대로니까 안심해.,108_baekgu.mp3
109,백구,baekgu,[matter-of-fact],{nm} 의 홀로그램 외피 해제. 원본 외관으로 돌아왔어.,[matter-of-fact] {nm} 의 홀로그램 외피 해제. 원본 외관으로 돌아왔어.,109_baekgu.mp3
110,백구,baekgu,[matter-of-fact][excited],🎉 축하해! {nm} 이(가) +{lv} 강화에 성공했어. 능력치가 {pct}% 상승!,[matter-of-fact][excited] 🎉 축하해! {nm} 이(가) +{lv} 강화에 성공했어. 능력치가 {pct}% 상승!,110_baekgu.mp3
111,백구,baekgu,[matter-of-fact],{nm} {ship}에 탑승. 함선 성능 올라갔어.,[matter-of-fact] {nm} {ship}에 탑승. 함선 성능 올라갔어.,111_baekgu.mp3
112,백구,baekgu,[matter-of-fact],{nm} 팔았어. ₡{cr} 들어왔다. 잘 썼네.,[matter-of-fact] {nm} 팔았어. ₡{cr} 들어왔다. 잘 썼네.,112_baekgu.mp3
113,백구,baekgu,[matter-of-fact],{nm}으로 이름 바꿨어. 새 출발이네.,[matter-of-fact] {nm}으로 이름 바꿨어. 새 출발이네.,113_baekgu.mp3
114,백구,baekgu,[matter-of-fact],{nm} 기함 변경. 주의해서 타.,[matter-of-fact] {nm} 기함 변경. 주의해서 타.,114_baekgu.mp3
115,백구,baekgu,[matter-of-fact],{nm} 창고 {n}칸으로 확장. {note},[matter-of-fact] {nm} 창고 {n}칸으로 확장. {note},115_baekgu.mp3
116,백구,baekgu,[matter-of-fact][excited],이제 최대야!,[matter-of-fact][excited] 이제 최대야!,116_baekgu.mp3
117,백구,baekgu,[matter-of-fact],다음 확장은 더 비싸질 거야.,[matter-of-fact] 다음 확장은 더 비싸질 거야.,117_baekgu.mp3
118,백구,baekgu,[matter-of-fact],{nm} 샀어. 정비소 → 파츠 → 오른쪽 창고 확장 슬롯에 장착하면 그 함선 화물칸이 +{bonus} 늘어나.,[matter-of-fact] {nm} 샀어. 정비소 → 파츠 → 오른쪽 창고 확장 슬롯에 장착하면 그 함선 화물칸이 +{bonus} 늘어나.,118_baekgu.mp3
119,백구,baekgu,[matter-of-fact],{nm} 장착! {done}/{total}척 완료. 전 함선 장착하면 순간이동 가능해.,[matter-of-fact] {nm} 장착! {done}/{total}척 완료. 전 함선 장착하면 순간이동 가능해.,119_baekgu.mp3
120,백구,baekgu,[matter-of-fact],{nm} 합류! {old}은 하선했어.,[matter-of-fact] {nm} 합류! {old}은 하선했어.,120_baekgu.mp3
121,백구,baekgu,[matter-of-fact][excited],전설 영웅 등장! 대박이야!,[matter-of-fact][excited] 전설 영웅 등장! 대박이야!,121_baekgu.mp3
122,백구,baekgu,[matter-of-fact][excited],전설급이야! 대박!,[matter-of-fact][excited] 전설급이야! 대박!,122_baekgu.mp3
123,백구,baekgu,[matter-of-fact][excited],영웅급 크루 영입!,[matter-of-fact][excited] 영웅급 크루 영입!,123_baekgu.mp3
124,백구,baekgu,[matter-of-fact],크루 영입 완료. 함선에 탑승시켜봐.,[matter-of-fact] 크루 영입 완료. 함선에 탑승시켜봐.,124_baekgu.mp3
